Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
4590947,"Uno, nessuno e centomila",Luigi Pirandello,"Pirandello, Luigi",Marziano Guglielminetti,"=""8804493313""","=""9788804493310""",0,4.03,Mondadori,Paperback,200,2001,1925,,2025/07/03,to-read,to-read (#189),to-read,,,,0,0
1541765,Se questo è un uomo,Primo Levi,"Levi, Primo",Cesare Segre,"=""8806176552""","=""9788806176556""",0,4.34,Einaudi,Paperback,209,2005,1947,,2025/07/03,currently-reading,currently-reading (#5),currently-reading,,,,1,0
42433823,La caduta di Gondolin,J.R.R. Tolkien,"Tolkien, J.R.R.","Christopher Tolkien, Luca Manini, Simone Buttazzi","=""8858780981""","=""9788858780985""",4,4.08,Bompiani,Kindle Edition,297,2018,2018,2025/06/01,2018/12/28,,,read,,,,1,0
70980427,Santità e amicizia. Lettere alla beata Diana degli Andalò,Giordano di Sassonia,"Sassonia, Giordano di",,"=""8870949788""","=""9788870949780""",3,3.00,,Paperback,0,,,2023/05/08,2023/07/18,"pdf, spirituale","pdf (#28), spirituale (#40)",read,,,,1,0
36562049,Saggio sulla Metaetica nella Summa Theologiae di San Tommaso d'Aquino,Teodora Rossi,"Rossi, Teodora",,"=""8888660151""","=""9788888660158""",1,3.00,Angelicum University Press,Paperback,137,2011,,,2017/11/08,,,read,,,,1,0
37635083,"Prediche corte tagliatelle lunghe, spunti per l'anima",Carlo Caffarra,"Caffarra, Carlo",,"=""8870949478""","=""9788870949476""",3,4.00,ESD,Paperback,208,2017,2017,,2017/12/19,,,read,,,,1,0
87448308,Schiacciare l'anima. Gli abusi spirituali nella vita religiosa,Dysmas de Lassus,"Lassus, Dysmas de","José Rodríguez Carballo, Gianni Lamieri","=""8810507584""","=""9788810507582""",5,4.50,EDB,Paperback,320,2021,,2025/05/17,2025/03/23,"psicologia, pastorale","psicologia (#7), pastorale (#21)",read,,,,1,0
54706464,"Habits and Holiness: Ethics, Theology, and Biopsychology (Thomistic Ressourcement Series)",Ezra Sullivan,"Sullivan, Ezra",Wojciech Giertych,"=""0813233291""","=""9780813233291""",0,4.25,The Catholic University of America Press,Paperback,614,2021,,,2025/04/01,to-read,to-read (#188),to-read,,,,0,0
40689583,The Spark of Faith: Understanding the Power of Reaching Out to God,Fr. Wojciech Giertych,"Giertych, Fr. Wojciech",,"=""""","=""""",0,4.56,Sophia Institute Press,Kindle Edition,203,2018,,,2025/04/01,to-read,to-read (#187),to-read,,,,0,0
59201381,Religious Transhumanism and Its Critics,Arvin M. Gouw,"Gouw, Arvin M.","Brian Patrick Green, Ted Peters, Aubrey Degrey, Whitney A. Bauman, Lincoln Cannon, Levi Checketts, Ronald Cole-Turner, Celia Deane-Drummond, Ilia Delio, Francesca Ferrando, Brandon Gallaher, Elisabeth Gerle, Noreen Herzfeld, Peter I-Min Huang, James Hughes, Rev Jay Emerson Rev Johnson, Nelson Kellogg, Heup Young Kim, Michael LaTorra, Braden Molhoek, Markus M�hling, Iris Ralph, Micah Redding, Hava Tirosh-Samuelson","=""1498584144""","=""9781498584142""",0,3.50,Lexington Books,ebook,494,2022,,,2025/03/25,"to-read, tecnoetica","to-read (#186), tecnoetica (#8)",to-read,,,,0,0
